1|1|Mascotas
6|2|Mascotas|Conejos (NO USAR)
108|3|Electrodomésticos|Hornos y Tostadores|Hornos de Microondas
109|3|Electrodomésticos|Hornos y Tostadores|Tostadores
110|2|Electrodomésticos|Dispensadores de Agua
111|2|Electrodomésticos|Línea Blanca
112|3|Electrodomésticos|Línea Blanca|Aire Acondicionado
113|3|Electrodomésticos|Línea Blanca|Campanas de Extracción
114|3|Electrodomésticos|Línea Blanca|Estufas
115|3|Electrodomésticos|Línea Blanca|Frigobar
116|3|Electrodomésticos|Línea Blanca|Hornillas
117|3|Electrodomésticos|Línea Blanca|Lavadoras
118|3|Electrodomésticos|Línea Blanca|Refrigeradoras
119|3|Electrodomésticos|Línea Blanca|Secadoras
2014|3|Electrodomésticos|Línea Blanca|Congeladores
2015|3|Electrodomésticos|Línea Blanca|Lavaplatos
121|2|Electrodomésticos|Exprimidores y Extractores
122|2|Electrodomésticos|Aspiradoras y Limpiadoras
123|3|Electrodomésticos|Aspiradoras y Limpiadoras|Accesorios
124|3|Electrodomésticos|Aspiradoras y Limpiadoras|Aspiradoras
125|3|Electrodomésticos|Aspiradoras y Limpiadoras|Limpiadoras
126|2|Electrodomésticos|Pulidoras
127|2|Electrodomésticos|Café y Té
128|3|Electrodomésticos|Café y Té|Acc y Repuestos para Cafeteras
129|3|Electrodomésticos|Café y Té|Cafeteras
130|3|Electrodomésticos|Café y Té|Molinos para Café
131|3|Electrodomésticos|Café y Té|Teteras
132|3|Electrodomésticos|Café y Té|Percoladoras
133|2|Electrodomésticos|Licuadoras y Procesadores
134|3|Electrodomésticos|Licuadoras y Procesadores|Acc y Repuestos para Licuadora
135|3|Electrodomésticos|Licuadoras y Procesadores|Licuadoras
136|3|Electrodomésticos|Licuadoras y Procesadores|Licuadoras + Procesador
137|3|Electrodomésticos|Licuadoras y Procesadores|Procesador de Alimentos
138|2|Electrodomésticos|Especialidades
139|3|Electrodomésticos|Especialidades|Abrelatas eléctricos
140|3|Electrodomésticos|Especialidades|Cuchillos Eléctricos
141|3|Electrodomésticos|Especialidades|Deshidratadores
142|3|Electrodomésticos|Especialidades|Fuentes de Chocolate
144|3|Electrodomésticos|Especialidades|Máquinas de Especialidades
145|3|Electrodomésticos|Especialidades|Máquinas para Hacer Helados
146|3|Electrodomésticos|Especialidades|Poporoperas
148|3|Electrodomésticos|Especialidades|Wafleras
149|3|Electrodomésticos|Especialidades|Electrodomésticos Inteligentes
150|3|Electrodomésticos|Especialidades|Máquinas para Hacer Pan
154|3|Electrodomésticos|Especialidades|Racletteras
151|2|Electrodomésticos|Parrillas, Sartenes y Ollas
147|3|Electrodomésticos|Parrillas, Sartenes y Ollas|Sandwicheras
152|3|Electrodomésticos|Parrillas, Sartenes y Ollas|Ollas Eléctricas
153|3|Electrodomésticos|Parrillas, Sartenes y Ollas|Parrillas Eléctricas
155|3|Electrodomésticos|Parrillas, Sartenes y Ollas|Sartenes Eléctricos
156|3|Electrodomésticos|Parrillas, Sartenes y Ollas|Woks Eléctricos
1008|2|Electrodomésticos|Limpieza y Lavandería
120|3|Electrodomésticos|Limpieza y Lavandería|Planchas de Ropa
143|3|Electrodomésticos|Limpieza y Lavandería|Maquina de Coser
157|1|Alfombras
158|2|Alfombras|Alfombras de Baño
159|2|Alfombras|Alfombras de Cocina
160|2|Alfombras|Alfombras de Jardín
161|2|Alfombras|Antideslizantes
162|2|Alfombras|Protectores de Alfombra
163|2|Alfombras|Alfombras Decorativas
164|1|Decoración
165|2|Decoración|Accesorios para Pared
166|2|Decoración|Álbumes y Marcos para Fotos
167|3|Decoración|Álbumes y Marcos para Fotos|Álbumes para Fotos
168|3|Decoración|Álbumes y Marcos para Fotos|Marcos para Fotos
169|2|Decoración|Bases y Accesorios para Arreglos
170|3|Decoración|Bases y Accesorios para Arreglos|Accesorios para Arreglos
171|3|Decoración|Bases y Accesorios para Arreglos|Canastas
172|3|Decoración|Bases y Accesorios para Arreglos|Floreros y Jarrones
173|3|Decoración|Bases y Accesorios para Arreglos|Maceteros Decorativos
174|3|Decoración|Bases y Accesorios para Arreglos|Regaderas Decorativas
175|2|Decoración|Chimeneas y Accesorios
176|2|Decoración|Faroles
177|2|Decoración|Fuentes Eléctricas y Accesorios
178|2|Decoración|Cuadros, Espejos Y Relojes
179|3|Decoración|Cuadros, Espejos Y Relojes|Cuadros y Placas
180|3|Decoración|Cuadros, Espejos Y Relojes|Espejos
181|3|Decoración|Cuadros, Espejos Y Relojes|Relojes
182|2|Decoración|Accesorios de Escritorio
183|2|Decoración|Juegos de Mesa Decorativos
184|2|Decoración|Accesorios para Bar
185|2|Decoración|Alcancías
186|2|Decoración|Cajas para Llaves
187|2|Decoración|Ceniceros
188|2|Decoración|Hieleras Finas
189|2|Decoración|Porta Llaves
190|2|Decoración|Telefonos Antiguos
191|2|Decoración|Accesorios para Viaje
192|2|Decoración|Campanas
193|2|Decoración|Colgadores
194|2|Decoración|Cruces
195|2|Decoración|Esferas
196|2|Decoración|Fachadas
197|2|Decoración|Identificador para Puerta
198|2|Decoración|Joyeros
199|2|Decoración|Magneticos
200|2|Decoración|Móviles Colgantes
201|2|Decoración|Platos Decorativos
202|2|Decoración|Porta Libros
203|2|Decoración|Regalos para Ocasiones Especiales
204|2|Decoración|Set de Repisas Decorativas
205|2|Decoración|Tarjetas e Invitaciones
206|2|Decoración|Esculturas y Figuras
207|3|Decoración|Esculturas y Figuras|Animales
208|3|Decoración|Esculturas y Figuras|Esculturas
209|3|Decoración|Esculturas y Figuras|Figuras
210|3|Decoración|Esculturas y Figuras|Muñecas
211|2|Decoración|Flores, Plantas Y Accesorios
212|3|Decoración|Flores, Plantas Y Accesorios|Flores
213|3|Decoración|Flores, Plantas Y Accesorios|Follajes
214|3|Decoración|Flores, Plantas Y Accesorios|Peceras y Terrarios
215|3|Decoración|Flores, Plantas Y Accesorios|Plantas
216|3|Decoración|Flores, Plantas Y Accesorios|Ramajes
217|2|Decoración|Miniaturas Decorativas
218|2|Decoración|Popurrí Y Sus Accesorios
219|2|Decoración|Velas y Accesorios
220|3|Decoración|Velas y Accesorios|Apagadores de Velas
221|3|Decoración|Velas y Accesorios|Candeleros
222|3|Decoración|Velas y Accesorios|Platos para Velas
223|3|Decoración|Velas y Accesorios|Quemadores
224|3|Decoración|Velas y Accesorios|Quinques
225|3|Decoración|Velas y Accesorios|Velas
226|2|Decoración|Anilleros
227|2|Decoración|Base y Ganchos para Platos
228|2|Decoración|Bomboneras
229|2|Decoración|Botellas Decorativas
230|2|Decoración|Cafeteras y Teteras Decorativas
231|2|Decoración|Centros de Mesa
232|2|Decoración|Cerámica Artística
233|2|Decoración|Champagnera
234|2|Decoración|Copas Decorativas
235|2|Decoración|Cubiertos Decorativos
236|2|Decoración|Frutas Decorativas
1964|2|Decoración|Máscaras
2030|2|Decoración|Platos
245|1|Muebles
246|2|Muebles|Muebles de Cocina
247|3|Muebles|Muebles de Cocina|Gabinetes de Cocina
248|3|Muebles|Muebles de Cocina|Muebles para Lavatrastos
249|2|Muebles|Muebles de Dormitorio
250|3|Muebles|Muebles de Dormitorio|Armarios y Gaveteros
251|3|Muebles|Muebles de Dormitorio|Baules
252|3|Muebles|Muebles de Dormitorio|Bean Bags
253|3|Muebles|Muebles de Dormitorio|Cabeceras
254|3|Muebles|Muebles de Dormitorio|Camas
255|3|Muebles|Muebles de Dormitorio|Closets
256|3|Muebles|Muebles de Dormitorio|Mesas de Noche
257|3|Muebles|Muebles de Dormitorio|Percheros
258|2|Muebles|Muebles de Oficina
259|3|Muebles|Muebles de Oficina|Escritorios
260|3|Muebles|Muebles de Oficina|Libreras
261|2|Muebles|Muebles de Sala y Comedor
262|3|Muebles|Muebles de Sala y Comedor|Bares
263|3|Muebles|Muebles de Sala y Comedor|Centro de Entretenimiento
264|3|Muebles|Muebles de Sala y Comedor|Comedor
265|3|Muebles|Muebles de Sala y Comedor|Juego de Comedor
266|3|Muebles|Muebles de Sala y Comedor|Juego de Sala
267|3|Muebles|Muebles de Sala y Comedor|Mesas
268|3|Muebles|Muebles de Sala y Comedor|Set de Muebles
269|3|Muebles|Muebles de Sala y Comedor|Sofás y Sillones
270|2|Muebles|Muebles Decorativos
271|3|Muebles|Muebles Decorativos|Mesa Tocador
272|3|Muebles|Muebles Decorativos|Columnas
273|2|Muebles|Sillas y Bancos
274|3|Muebles|Sillas y Bancos|Bancos
275|3|Muebles|Sillas y Bancos|Sillas
276|2|Muebles|Muebles y Espejos de Baño
277|3|Muebles|Muebles y Espejos de Baño|Espejos
278|3|Muebles|Muebles y Espejos de Baño|Gabinete con Espejo
279|3|Muebles|Muebles y Espejos de Baño|Muebles para Lavamanos
280|3|Muebles|Muebles y Espejos de Baño|Muebles Prefabricados
281|1|Baños
68|2|Baños|Toallas
71|3|Baños|Toallas|Toallas de Baño
282|2|Baños|Accesorios para Seguridad
283|3|Baños|Accesorios para Seguridad|Agarradores para Ducha/Bañera
284|3|Baños|Accesorios para Seguridad|Antideslizantes
285|3|Baños|Accesorios para Seguridad|Barras de Seguridad
286|2|Baños|Gorras, Esponjas y Guantes
287|3|Baños|Gorras, Esponjas y Guantes|Esponjas
288|3|Baños|Gorras, Esponjas y Guantes|Gorras
289|3|Baños|Gorras, Esponjas y Guantes|Guantes
290|2|Baños|Organización y Accesorios
291|3|Baños|Organización y Accesorios|Algodoneras
292|3|Baños|Organización y Accesorios|Bandejas Organizadoras
293|3|Baños|Organización y Accesorios|Dispensadores de Jabón y Jaboneras
294|3|Baños|Organización y Accesorios|Dispensadores de Pañuelos, Toallas y Wipes
295|3|Baños|Organización y Accesorios|Ganchos Para Colgar
296|3|Baños|Organización y Accesorios|Organizadores para Baño
297|3|Baños|Organización y Accesorios|Porta Cepillos y Vasos
298|3|Baños|Organización y Accesorios|Porta Kleenex
299|3|Baños|Organización y Accesorios|Porta Papel
300|3|Baños|Organización y Accesorios|Set de Accesorios
301|3|Baños|Organización y Accesorios|Toalleros
302|2|Baños|Cortinas y Accesorios
303|3|Baños|Cortinas y Accesorios|Accesorios para Cortinas
304|3|Baños|Cortinas y Accesorios|Cortinas
305|3|Baños|Cortinas y Accesorios|Set de Baño
306|3|Baños|Cortinas y Accesorios|Tubos y Accesorios para Ducha
307|2|Baños|Batas, Pantuflas y Sandalías
69|3|Baños|Batas, Pantuflas y Sandalías|Batas
308|3|Baños|Batas, Pantuflas y Sandalías|Pantuflas
309|3|Baños|Batas, Pantuflas y Sandalías|Pijamas
310|3|Baños|Batas, Pantuflas y Sandalías|Sandalías
311|1|Organización
312|2|Organización|Almacenaje y Organización
313|3|Organización|Almacenaje y Organización|Estanterías para Uso Pesado
314|3|Organización|Almacenaje y Organización|Esquineras y Repisas
315|3|Organización|Almacenaje y Organización|Estanterías Decorativas
316|3|Organización|Almacenaje y Organización|Bolsas Organizadoras
317|3|Organización|Almacenaje y Organización|Cajas
318|3|Organización|Almacenaje y Organización|Contenedores y Canastas
319|3|Organización|Almacenaje y Organización|Ganchos
320|3|Organización|Almacenaje y Organización|Gavetas, Gaveteros y sus Accesorios
321|3|Organización|Almacenaje y Organización|Organizadores
322|3|Organización|Almacenaje y Organización|Banquitos y Escaleras
323|3|Organización|Almacenaje y Organización|Soportes para Repisas
324|3|Organización|Almacenaje y Organización|Soportes para Muebles
325|3|Organización|Almacenaje y Organización|Rieles para Repisas
326|2|Organización|Organizadores de Cocina
327|3|Organización|Organizadores de Cocina|Almacenadores de Plástico
328|3|Organización|Organizadores de Cocina|Antideslizantes
329|3|Organización|Organizadores de Cocina|Bolsas Térmicas
330|3|Organización|Organizadores de Cocina|Dispensadores de Jabón
331|3|Organización|Organizadores de Cocina|Organizadores de Utensilios
332|3|Organización|Organizadores de Cocina|Organizadores de Gabinetes
333|3|Organización|Organizadores de Cocina|Organizadores De Lavaplatos Y Esponjas
334|3|Organización|Organizadores de Cocina|Organizadores para Pantry
335|3|Organización|Organizadores de Cocina|Organizadores para Refrigeradora
336|3|Organización|Organizadores de Cocina|Pachones de Plástico
337|3|Organización|Organizadores de Cocina|Porta Garrafón
338|3|Organización|Organizadores de Cocina|Sujetadores de Papel/Toalla
339|3|Organización|Organizadores de Cocina|Contenedores para Alimento
340|3|Organización|Organizadores de Cocina|Carritos para Supermercado
341|3|Organización|Organizadores de Cocina|Loncheras
342|2|Organización|Organizadores de Lavandería
343|3|Organización|Organizadores de Lavandería|Cobertores
344|3|Organización|Organizadores de Lavandería|Colgadores,Tendedores y Accesorios
345|3|Organización|Organizadores de Lavandería|Mallas para Lavado de Ropa
346|3|Organización|Organizadores de Lavandería|Planchadores y Accesorios
347|2|Organización|Valijas y Mochilas
348|3|Organización|Valijas y Mochilas|Bolsos
349|3|Organización|Valijas y Mochilas|Mochilas
350|3|Organización|Valijas y Mochilas|Valijas
351|2|Organización|Organizadores de Oficina
352|3|Organización|Organizadores de Oficina|Archiveros y Papeleros
353|3|Organización|Organizadores de Oficina|Organizadores de Documentos
354|3|Organización|Organizadores de Oficina|Organizadores de Escritorio
355|3|Organización|Organizadores de Oficina|Pizarras y Accesorios
1953|3|Organización|Organizadores de Oficina|Organizadores de Multimedia
356|2|Organización|Organizadores de Dormitorio
357|3|Organización|Organizadores de Dormitorio|Barras y Soportes para Closet
358|3|Organización|Organizadores de Dormitorio|Colgadores con Divisiones
359|3|Organización|Organizadores de Dormitorio|Colgadores de Ropa
360|3|Organización|Organizadores de Dormitorio|Fundas para Prendas
361|3|Organización|Organizadores de Dormitorio|Organizadores de Gavetas para Closet
362|3|Organización|Organizadores de Dormitorio|Organizadores para Accesorios
363|3|Organización|Organizadores de Dormitorio|Serchas
364|3|Organización|Organizadores de Dormitorio|Zapateras
369|3|Organización|Organizadores de Dormitorio|Tubos y Accesorios para Closet
365|2|Organización|Organizadores de Juguetes
366|2|Organización|Organizadores de Baño
367|3|Organización|Organizadores de Baño|Organizadores para Ducha
368|3|Organización|Organizadores de Baño|Canastas y Bolsas de Ropa
370|1|Cuidado Personal y Bienestar
371|2|Cuidado Personal y Bienestar|Básculas
372|2|Cuidado Personal y Bienestar|Belleza
373|3|Cuidado Personal y Bienestar|Belleza|Espejos de Tocador
374|3|Cuidado Personal y Bienestar|Belleza|Maquillaje
375|3|Cuidado Personal y Bienestar|Belleza|Cosmetiqueras
376|2|Cuidado Personal y Bienestar|Cuidado Bucal
377|3|Cuidado Personal y Bienestar|Cuidado Bucal|Cepillos Dentales
378|3|Cuidado Personal y Bienestar|Cuidado Bucal|Enjuague Bucal
379|3|Cuidado Personal y Bienestar|Cuidado Bucal|Hilo Dental
380|3|Cuidado Personal y Bienestar|Cuidado Bucal|Pasta de Dientes
381|3|Cuidado Personal y Bienestar|Cuidado Bucal|Sets Cuidado Bucal
382|2|Cuidado Personal y Bienestar|Cuidado de Pies y Manos
383|3|Cuidado Personal y Bienestar|Cuidado de Pies y Manos|Accesorios de Manicure/Pedicure
384|3|Cuidado Personal y Bienestar|Cuidado de Pies y Manos|Cremas para Pies y Manos
385|3|Cuidado Personal y Bienestar|Cuidado de Pies y Manos|Jabón de Manos
386|3|Cuidado Personal y Bienestar|Cuidado de Pies y Manos|Spray y Talcos para Pies
387|3|Cuidado Personal y Bienestar|Cuidado de Pies y Manos|Toallas Antibacteriales
388|3|Cuidado Personal y Bienestar|Cuidado de Pies y Manos|Gel Antibacterial
389|2|Cuidado Personal y Bienestar|Cuidado del Cabello
390|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Accesorios Varios
391|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Acondicionadores
392|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Bandas
393|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Cepillos de Cabello
394|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Colas
395|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Cortadoras de Cabello
396|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Cremas y Espuma para Peinar
397|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Diademas
398|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Ganchos para el Cabello
399|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Gelatina para Peinar
400|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Mascarillas
401|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Óleos y Aceites
402|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Pasta para Peinar
403|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Planchas para el Cabello
404|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Secadoras de Cabello
405|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Sets para Cuidado del Cabello
406|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Shampoo
407|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Tenazas para Cabello
408|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Tintes para el Cabello
409|3|Cuidado Personal y Bienestar|Cuidado del Cabello|Tubos para Cabello
410|2|Cuidado Personal y Bienestar|Cuidado Facial
411|3|Cuidado Personal y Bienestar|Cuidado Facial|Crema Facial
412|3|Cuidado Personal y Bienestar|Cuidado Facial|Desmaquillante
413|3|Cuidado Personal y Bienestar|Cuidado Facial|Jabón Facial
414|3|Cuidado Personal y Bienestar|Cuidado Facial|Sauna y Cepillo Facial
415|3|Cuidado Personal y Bienestar|Cuidado Facial|Tonificador
416|2|Cuidado Personal y Bienestar|Cuidado Íntimo
417|3|Cuidado Personal y Bienestar|Cuidado Íntimo|Jabón Íntimo
418|3|Cuidado Personal y Bienestar|Cuidado Íntimo|Protectores Diarios
419|3|Cuidado Personal y Bienestar|Cuidado Íntimo|Tampones
420|3|Cuidado Personal y Bienestar|Cuidado Íntimo|Toallas Sanitarias
421|2|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal
422|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Aceites
423|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Cremas Corporales
424|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Desodorantes
425|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Espuma de Afeitar
426|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Exfoliante
427|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Gel de Afeitar
428|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Jabones Corporales
429|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Kits de Regalo
430|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Lociones
431|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Máquinas Depiladoras
432|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Pomadas
433|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Protección Solar
434|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Rasuradoras
435|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Repelentes
436|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Splash
437|3|Cuidado Personal y Bienestar|Higiene y Cuidado Corporal|Talcos
